2014-11-03 14:05:49 status unpacked libjpeg8:amd64 8d-1+deb7u1
2014-11-03 14:05:50 status unpacked libjpeg8:amd64 8d-1+deb7u1
2014-11-03 14:05:50 install libjbig0:amd64 <none> 2.0-2+deb7u1
2014-11-03 14:05:50 status half-installed libjbig0:amd64 2.0-2+deb7u1
2014-11-03 14:05:50 status unpacked libjbig0:amd64 2.0-2+deb7u1
2014-11-03 14:05:50 status unpacked libjbig0:amd64 2.0-2+deb7u1
2014-11-03 14:05:50 install libtiff4:amd64 <none> 3.9.6-11
2014-11-03 14:05:50 status half-installed libtiff4:amd64 3.9.6-11
2014-11-03 14:05:50 status unpacked libtiff4:amd64 3.9.6-11
2014-11-03 14:05:50 status unpacked libtiff4:amd64 3.9.6-11
2014-11-03 14:05:50 install libcupsimage2:amd64 <none> 1.5.3-5+deb7u4
2014-11-03 14:05:50 status half-installed libcupsimage2:amd64 1.5.3-5+deb7u4
2014-11-03 14:05:50 status unpacked libcupsimage2:amd64 1.5.3-5+deb7u4
2014-11-03 14:05:50 status unpacked libcupsimage2:amd64 1.5.3-5+deb7u4
2014-11-03 14:05:50 install libdatrie1:amd64 <none> 0.2.5-3
2014-11-03 14:05:50 status half-installed libdatrie1:amd64 0.2.5-3
2014-11-03 14:05:50 status unpacked libdatrie1:amd64 0.2.5-3
2014-11-03 14:05:50 status unpacked libdatrie1:amd64 0.2.5-3
2014-11-03 14:05:50 install libdjvulibre-text:all <none> 3.5.25.3-1
2014-11-03 14:05:50 status half-installed libdjvulibre-text:all 3.5.25.3-1
2014-11-03 14:05:50 status unpacked libdjvulibre-text:all 3.5.25.3-1
2014-11-03 14:05:50 status unpacked libdjvulibre-text:all 3.5.25.3-1
2014-11-03 14:05:50 install libdjvulibre21:amd64 <none> 3.5.25.3-1
2014-11-03 14:05:50 status half-installed libdjvulibre21:amd64 3.5.25.3-1
2014-11-03 14:05:50 status unpacked libdjvulibre21:amd64 3.5.25.3-1
2014-11-03 14:05:50 status unpacked libdjvulibre21:amd64 3.5.25.3-1
2014-11-03 14:05:50 install libgd2-noxpm:amd64 <none> 2.0.36~rc1~dfsg-6.1
2014-11-03 14:05:50 status half-installed libgd2-noxpm:amd64 2.0.36~rc1~dfsg-6.1
2014-11-03 14:05:50 status unpacked libgd2-noxpm:amd64 2.0.36~rc1~dfsg-6.1
2014-11-03 14:05:50 status unpacked libgd2-noxpm:amd64 2.0.36~rc1~dfsg-6.1
2014-11-03 14:05:51 install libjasper1:amd64 <none> 1.900.1-13
2014-11-03 14:05:51 status half-installed libjasper1:amd64 1.900.1-13
2014-11-03 14:05:51 status unpacked libjasper1:amd64 1.900.1-13
2014-11-03 14:05:51 status unpacked libjasper1:amd64 1.900.1-13
2014-11-03 14:05:51 install libgdk-pixbuf2.0-common:all <none> 2.26.1-1
2014-11-03 14:05:51 status half-installed libgdk-pixbuf2.0-common:all 2.26.1-1
2014-11-03 14:05:51 status unpacked libgdk-pixbuf2.0-common:all 2.26.1-1
2014-11-03 14:05:51 status unpacked libgdk-pixbuf2.0-common:all 2.26.1-1
2014-11-03 14:05:51 install libgdk-pixbuf2.0-0:amd64 <none> 2.26.1-1
2014-11-03 14:05:51 status half-installed libgdk-pixbuf2.0-0:amd64 2.26.1-1
2014-11-03 14:05:51 status unpacked libgdk-pixbuf2.0-0:amd64 2.26.1-1
